quota_order_number,quota_description,geographical_area_id,geographical_area_description,commodity_code,commodity_code_description,opening_balance_volume,opening_balance_unit,quota_period_start,quota_period_end,in_quota_duty_rate,out_of_quota_duty_rate,fill_rate_percent,status,last_allocation_date,blocking_period_start,blocking_period_end,critical,critical_threshold_percent
TQ001234,"Beef and veal (fresh, chilled or frozen) - Australia FTA",AU,"Australia",0201100000,"Carcasses and half-carcasses",35000.00,tonnes,2025-01-01,2025-12-31,"0.00%","12.00% + 147.00 GBP / 100 kg",42.30,Open,2025-03-15,,,FALSE,90
TQ001234,"Beef and veal (fresh, chilled or frozen) - Australia FTA",AU,"Australia",0201200010,"Other cuts with bone in -- Compensated quarters",35000.00,tonnes,2025-01-01,2025-12-31,"0.00%","12.00% + 147.00 GBP / 100 kg",42.30,Open,2025-03-15,,,FALSE,90
TQ001234,"Beef and veal (fresh, chilled or frozen) - Australia FTA",AU,"Australia",0201200090,"Other cuts with bone in -- Other",35000.00,tonnes,2025-01-01,2025-12-31,"0.00%","12.00% + 176.80 GBP / 100 kg",42.30,Open,2025-03-15,,,FALSE,90
TQ001234,"Beef and veal (fresh, chilled or frozen) - Australia FTA",AU,"Australia",0201300000,"Boneless",35000.00,tonnes,2025-01-01,2025-12-31,"0.00%","12.00% + 265.20 GBP / 100 kg",42.30,Open,2025-03-15,,,FALSE,90
TQ002001,"Bananas (fresh) - Erga Omnes",1011,"All third countries",0803901000,"Bananas -- Fresh",180000.00,tonnes,2025-01-01,2025-12-31,"0.00 GBP / 1000 kg","96.00 GBP / 1000 kg",78.60,Open,2025-04-01,,,TRUE,90
TQ003010,"Wine of fresh grapes - South Africa",ZA,"South Africa",2204211100,"Wine in containers of 2 litres or less -- Quality wine",26000.00,hectolitres,2025-01-01,2025-12-31,"0.00 GBP / hl","0.00 GBP / hl",31.20,Open,2025-02-28,,,FALSE,90
TQ003010,"Wine of fresh grapes - South Africa",ZA,"South Africa",2204211900,"Wine in containers of 2 litres or less -- Other",26000.00,hectolitres,2025-01-01,2025-12-31,"0.00 GBP / hl","0.00 GBP / hl",31.20,Open,2025-02-28,,,FALSE,90
TQ004050,"Cotton garments - Bangladesh LDC",BD,"Bangladesh",6101200000,"Of cotton",5000.00,tonnes,2025-01-01,2025-12-31,"0.00%","12.00%",91.40,Open,2025-04-10,,,TRUE,90
TQ005100,"Trout (live) - Norway",NO,"Norway",0301910000,"Trout (Salmo trutta, Oncorhynchus mykiss and others)",2500.00,tonnes,2025-01-01,2025-12-31,"0.00%","8.00%",15.80,Open,2025-01-31,,,FALSE,90
TQ006200,"Carp (live) - Erga Omnes",1011,"All third countries",0301930000,"Carp (Cyprinus spp. and others)",1200.00,tonnes,2025-01-01,2025-12-31,"0.00%","6.00%",5.20,Open,2025-01-15,,,FALSE,90
TQ007300,"Seats with wooden frames - Viet Nam",VN,"Viet Nam",9401610000,"Upholstered seats -- With wooden frames",8000.00,units,2025-01-01,2025-12-31,"0.00%","0.00%",62.10,Open,2025-03-20,,,FALSE,90
TQ008400,"Bovine animals (live) - Erga Omnes",1011,"All third countries",0102291010,"Cattle -- Other -- Domestic species weighing not more than 80 kg",10000.00,heads,2025-01-01,2025-12-31,"0.00%","10.20% + 93.10 GBP / 100 kg",22.50,Open,2025-02-15,,,FALSE,90
TQ008400,"Bovine animals (live) - Erga Omnes",1011,"All third countries",0102291090,"Cattle -- Other -- Domestic species weighing more than 80 kg but not more than 160 kg",10000.00,heads,2025-01-01,2025-12-31,"0.00%","10.20% + 93.10 GBP / 100 kg",22.50,Open,2025-02-15,,,FALSE,90
TQ009500,"Sparkling wine - Erga Omnes",1011,"All third countries",2204101100,"Sparkling wine -- Champagne",50000.00,hectolitres,2024-01-01,2024-12-31,"0.00 GBP / hl","0.00 GBP / hl",99.80,Exhausted,2024-11-05,2024-11-06,2024-12-31,TRUE,90
TQ009500,"Sparkling wine - Erga Omnes",1011,"All third countries",2204101900,"Sparkling wine -- Other",50000.00,hectolitres,2024-01-01,2024-12-31,"0.00 GBP / hl","0.00 GBP / hl",99.80,Exhausted,2024-11-05,2024-11-06,2024-12-31,TRUE,90
