survey_id,site_name,county,habitat_type,survey_date,surveyor,species_count,red_list_species,invasive_species_present,vegetation_cover_pct,canopy_height_m,soil_ph,soil_moisture_pct,noise_level_db,air_quality_index,litter_score,public_access,protected_area,condition_assessment,notes
ENV-2024-001,Epping Forest North,Essex,Ancient woodland,2024-01-18,Dr A. Thornton,42,3,FALSE,88.5,22.4,4.8,62.3,38,1,2,TRUE,TRUE,Favourable,"Mature oak and beech canopy intact"
ENV-2024-002,Epping Forest South,Essex,Ancient woodland,2024-01-18,Dr A. Thornton,38,2,TRUE,82.1,20.8,4.9,58.7,45,1,3,TRUE,TRUE,Unfavourable recovering,"Rhododendron encroachment on eastern boundary"
ENV-2024-003,Wicken Fen,Cambridgeshire,Fen,2024-02-05,J. Marsh,67,5,FALSE,95.2,1.2,6.2,89.4,28,1,1,TRUE,TRUE,Favourable,"Exceptional reed bed condition"
ENV-2024-004,Holme Fen,Cambridgeshire,Fen,2024-02-05,J. Marsh,51,4,FALSE,91.8,1.5,5.8,85.1,31,1,1,TRUE,TRUE,Favourable,"Birch encroachment monitored but controlled"
ENV-2024-005,Box Hill,Surrey,Chalk grassland,2024-02-22,S. Patel,55,2,FALSE,72.4,0.3,7.8,28.5,42,2,4,TRUE,TRUE,Favourable,"Orchid populations stable"
ENV-2024-006,Ranmore Common,Surrey,Chalk grassland,2024-02-22,S. Patel,48,1,TRUE,68.9,0.4,7.6,31.2,39,2,3,TRUE,TRUE,Unfavourable recovering,"Cotoneaster removal programme ongoing"
ENV-2024-007,Studland Heath,Dorset,Lowland heath,2024-03-11,Dr R. Keane,61,6,FALSE,78.3,0.8,4.2,45.6,33,1,2,TRUE,TRUE,Favourable,"Sand lizard population confirmed breeding"
ENV-2024-008,Arne RSPB,Dorset,Lowland heath,2024-03-11,Dr R. Keane,73,7,FALSE,81.5,1.1,4.0,48.2,29,1,1,TRUE,TRUE,Favourable,"Dartford warbler territories increased"
ENV-2024-009,Saltfleetby Dunes,Lincolnshire,Sand dune,2024-03-25,M. Okonkwo,34,1,TRUE,45.2,0.2,7.1,18.9,35,2,3,TRUE,TRUE,Unfavourable declining,"Sea buckthorn spreading rapidly"
ENV-2024-010,Gibraltar Point,Lincolnshire,Sand dune,2024-03-25,M. Okonkwo,41,2,FALSE,52.8,0.3,7.3,22.4,32,1,2,TRUE,TRUE,Favourable,"Natterjack toad pools maintained"
ENV-2024-011,Morecambe Bay East,Lancashire,Saltmarsh,2024-04-08,Dr A. Thornton,29,1,FALSE,65.4,0.4,7.5,78.5,36,1,2,TRUE,TRUE,Favourable,"Spartina marsh stable"
ENV-2024-012,Ribble Estuary,Lancashire,Saltmarsh,2024-04-08,Dr A. Thornton,33,2,TRUE,61.2,0.3,7.4,75.8,41,2,3,TRUE,TRUE,Unfavourable recovering,"Cordgrass management in progress"
ENV-2024-013,Sherwood Forest,Nottinghamshire,Ancient woodland,2024-04-22,J. Marsh,45,3,FALSE,85.3,18.5,5.1,55.4,48,2,5,TRUE,TRUE,Unfavourable recovering,"Veteran oak health monitoring programme active"
ENV-2024-014,Clumber Park,Nottinghamshire,Parkland,2024-04-22,J. Marsh,37,1,TRUE,71.8,15.2,5.5,42.1,52,3,4,TRUE,FALSE,Unfavourable declining,"Grey squirrel damage to young trees"
ENV-2024-015,Kielder Forest Edge,Northumberland,Upland heath,2024-05-06,S. Patel,28,2,FALSE,58.9,0.6,4.5,52.8,22,1,1,FALSE,FALSE,Favourable,"Red squirrel stronghold confirmed"
ENV-2024-016,Simonside Hills,Northumberland,Upland heath,2024-05-06,S. Patel,31,3,FALSE,62.4,0.5,4.3,55.1,24,1,1,FALSE,FALSE,Favourable,"Heather management burning completed"
ENV-2024-017,Hatfield Moors,South Yorkshire,Raised bog,2024-05-20,Dr R. Keane,24,2,FALSE,88.7,0.2,3.8,92.5,27,1,1,TRUE,TRUE,Unfavourable recovering,"Rewetting programme showing results"
ENV-2024-018,Thorne Moors,South Yorkshire,Raised bog,2024-05-20,Dr R. Keane,22,2,FALSE,86.3,0.3,3.9,90.8,30,1,2,TRUE,TRUE,Unfavourable recovering,"Sphagnum recolonisation observed"
ENV-2024-019,Blean Woods,Kent,Ancient woodland,2024-06-03,M. Okonkwo,52,4,FALSE,90.1,19.8,5.2,60.5,40,1,3,TRUE,TRUE,Favourable,"Heath fritillary population stable"
ENV-2024-020,Stodmarsh,Kent,Fen,2024-06-03,M. Okonkwo,58,3,TRUE,93.5,1.8,6.0,87.2,34,2,2,TRUE,TRUE,Unfavourable declining,"Nutrient enrichment from agricultural runoff"
ENV-2024-021,New Forest Inclosure,Hampshire,Ancient woodland,2024-06-17,Dr A. Thornton,63,5,FALSE,87.2,21.1,4.7,57.8,44,2,4,TRUE,TRUE,Favourable,"Deadwood habitat excellent"
ENV-2024-022,New Forest Heath,Hampshire,Lowland heath,2024-06-17,Dr A. Thornton,56,4,FALSE,74.8,0.7,4.1,41.3,46,2,5,TRUE,TRUE,Unfavourable recovering,"Grazing pressure from ponies being managed"
ENV-2024-023,Cors Caron,Ceredigion,Raised bog,2024-07-01,J. Marsh,35,3,FALSE,91.2,0.2,3.7,94.1,21,1,1,TRUE,TRUE,Favourable,"Pristine bog surface"
ENV-2024-024,Dyfi Estuary,Gwynedd,Saltmarsh,2024-07-01,J. Marsh,44,2,FALSE,69.5,0.3,7.2,72.4,26,1,1,TRUE,TRUE,Favourable,"Osprey nest active"
ENV-2024-025,Braunton Burrows,Devon,Sand dune,2024-07-15,S. Patel,47,3,TRUE,55.6,0.3,7.0,25.8,37,2,3,TRUE,TRUE,Unfavourable recovering,"Marram grass planting programme"
ENV-2024-026,Dawlish Warren,Devon,Sand dune,2024-07-15,S. Patel,39,1,TRUE,48.3,0.2,6.8,20.5,55,3,5,TRUE,TRUE,Unfavourable declining,"Visitor pressure and erosion significant"
ENV-2024-027,Cannock Chase,Staffordshire,Lowland heath,2024-08-05,Dr R. Keane,43,3,TRUE,70.2,0.9,4.4,38.7,58,3,5,TRUE,TRUE,Unfavourable declining,"Mountain bike trail erosion and nightjar disturbance"
ENV-2024-028,Chasewater,Staffordshire,Open water margin,2024-08-05,Dr R. Keane,36,1,TRUE,42.5,0.1,6.5,65.3,54,3,4,FALSE,FALSE,Unfavourable declining,"Algal blooms from nutrient loading"
ENV-2024-029,Stiperstones,Shropshire,Upland heath,2024-08-19,M. Okonkwo,33,2,FALSE,66.8,0.5,4.6,49.5,25,1,2,TRUE,TRUE,Favourable,"Ring ouzel breeding confirmed"
ENV-2024-030,Long Mynd,Shropshire,Upland heath,2024-08-19,M. Okonkwo,37,3,FALSE,71.5,0.6,4.4,51.2,28,1,2,TRUE,TRUE,Favourable,"Bilberry cover increasing"
